url,label
https://google.com,0
https://www.google.com,0
https://github.com,0
https://www.github.com,0
https://microsoft.com,0
https://www.microsoft.com,0
https://apple.com,0
https://www.apple.com,0
https://amazon.com,0
https://www.amazon.com,0
https://wikipedia.org,0
https://www.wikipedia.org,0
https://youtube.com,0
https://www.youtube.com,0
https://linkedin.com,0
https://www.linkedin.com,0
https://stackoverflow.com,0
https://www.stackoverflow.com,0
https://python.org,0
https://www.python.org,0
http://192.168.1.10/login,1
http://192.168.10.25/verify,1
http://fake-login-example.com/login,1
http://secure-account-verify-example.com,1
http://paypal-login-example.com/verify,1
http://account-update-example.com/login,1
http://bank-secure-login-example.com,1
http://verify-user-account-example.com,1
http://signin-account-example.com/password,1
http://security-verification-example.com,1
